COMPANY_NAME,TRUSTSCORE,REVIEW_COUNT,LOCATION,WEBSITE_URL,REVIEWS
Nestle,4.3,23,Sweden,http://nestle.se,"[{'author': 'Anno Driessen', 'rating': 1, 'review_text': 'I ordered 10 days ago online with Nestle Powdered milk, for 10 days I try to reach Nestle, but they never reply, the order i place was a special offer that would save me a lot of money, however the delivery term of the order is about to expire, and that means that i will not be able to make use of the special offer, even worse, for 10 days we are out of milk powder, the customer care of Nestle only sends automated messages that are useless, no decent answer, no personal care, only automated messages ""We sincerely apologize for the inconvenience you\'ve experienced due to the delayed delivery. As a chat representative, our access to tracking information is limited based on our tracking reference. Our records indicate that your order was not successfully picked up by the courier, and the status of the package in our system shows that it is scheduled for a rescheduled delivery. We appreciate your understanding in this matter."" or: ""Hello there! All our support agents are currently busy. Don\'t worry, your message is on queue."" this is the poorest customer care i ever encountered,, so Nestle Philippines, if i could give a - star then i would for sure give a -5 rating', 'experienced_on': '2023-09-10T00:00:00.000Z', 'country': 'PH'}, {'author': 'Leny Pecato', 'rating': 5, 'review_text': 'Nestle has a wide range of products that our family really enjoyed eversince. We are always looking forward for other innovative consumable products that they can offer.', 'experienced_on': '2023-08-31T00:00:00.000Z', 'country': 'PH'}, {'author': 'Cure Lovely', 'rating': 1, 'review_text': ""Nestle owns many of the well-known pet food brands such as Friskies, Purina, and Fancy Feast. They do animal testing in order to make it happen. Despite them being makers of pet food, don't trust them with the health of your pet!\n\nAmong other things, Nestle also wants to sell bottled water from the Great Lakes for a profit, and they condone and benefit from slave labor in other countries such as Brazil.\n\nTheir rating on shopethical is also a big fat F!"", 'experienced_on': '2023-08-08T00:00:00.000Z', 'country': 'US'}, {'author': 'Ayesha Ahad', 'rating': 5, 'review_text': 'Nestle have so many products and all the products quality are unique.there all pure and halal they have great customer service. There products are so healthy', 'experienced_on': '2023-08-11T00:00:00.000Z', 'country': 'PK'}, {'author': 'Sadi Malik', 'rating': 5, 'review_text': 'Doing a good work. Provide a good quality products with delicious taste', 'experienced_on': '2023-04-03T00:00:00.000Z', 'country': 'PK'}, {'author': 'Rao Faisal', 'rating': 5, 'review_text': 'nestle is a king of all company', 'experienced_on': '2023-08-02T00:00:00.000Z', 'country': 'PK'}, {'author': 'Sana Sana', 'rating': 5, 'review_text': 'Great job really nice taste', 'experienced_on': '2023-05-10T00:00:00.000Z', 'country': 'PK'}]"
Nestle,2.4,8,United Kingdom,http://nestle.uk,"[{'author': 'I Bailey', 'rating': 1, 'review_text': ""Is it possible for Nestlé to make their multipack KitKat biscuits any Smaller. I recently purchased a pack of the dark chocolate one's and I was absolutely shocked at the size of each biscuit, needless to say that I won't be buying any more in a hurry!"", 'experienced_on': '2023-09-19T00:00:00.000Z', 'country': 'GB'}, {'author': 'Lucas', 'rating': 1, 'review_text': ""Murdered millions of children, stole water from dying people living in awful conditions. Look at their ingredients list. From 50+ products i haven't found a single somewhat healthy one. \n\nIngredients that are proven to be toxic in humans and raise cancer risks especially in children. And you know who nestle markets to? Children of course. They even failed to sell healthy water. \n\nI have read so many articles about tests suddenly showing this like insane amounts of toxins in their bottled water or orange juice. Never letting my children eat one of their products ever. Wish they went bankrupt. Sadly that will never happen."", 'experienced_on': '2023-01-01T00:00:00.000Z', 'country': 'BE'}, {'author': 'Jane ', 'rating': 1, 'review_text': ""Shame on you Nestlé. Carnation extra thick cream GONE!!  What were you thinking. My 70s childhood of strawberry jelly, my nans apple pie and mum's trifle. Ruined. There's lots of us out there still buying it. Booooo"", 'experienced_on': '2023-08-23T00:00:00.000Z', 'country': 'GB'}, {'author': 'Colin Wills', 'rating': 1, 'review_text': 'Yet again this company hitting customers twice price increase plus reduction in size of coffee mate this amounts to sheer greed 400g is now 350g 1kg now 800g prices are supposed be easing up', 'experienced_on': '2023-07-28T00:00:00.000Z', 'country': 'GB'}, {'author': 'Frank Rietz', 'rating': 1, 'review_text': ""Rang up Nestle customer services yesterday for the second time in 2 months to enquire about the availability of Perrier (which they own)in glass bottle form. I have not been able to buy Perrier for over 2 months. They previously told me that there was a supply issue. This time, a month later, the agent knew nothing and when asked where I could buy it from in the UK, gave me Ocado as the sole source in the UK. I used to buy it from Ocado for several years, whose website now shows NO AVAILABILITY!! Indeed Ocado told me that they had delisted Perrier! Obviously the brand has been withdrawn from the UK but Nestle can't be bothered to tell it's customer services. What a way to treat loyal customers!"", 'experienced_on': '2023-03-07T00:00:00.000Z', 'country': 'GB'}, {'author': 'Barry Brown', 'rating': 1, 'review_text': ""Coffeemate - ingredients. Glucose syrup, palm kernel oil, milk protein, E331, E452, E340, E471, E472e, E170, colour.\nCompare with Tesco's dried skimmed milk. Ingredients. Dried skimmed milk. Vit A, Vit D.\nNOT DIFFICULT IS IT?"", 'experienced_on': '2023-01-25T00:00:00.000Z', 'country': 'FR'}, {'author': 'Becky', 'rating': 3, 'review_text': 'This is an average company when it comes to beverages and they are great and awesome.', 'experienced_on': '2023-04-20T00:00:00.000Z', 'country': 'FI'}]"
nestle.gr,3.7,3,,http://nestle.gr,"[{'author': 'Stathis A.', 'rating': 4, 'review_text': 'Pretty good products!', 'experienced_on': None, 'country': 'GR'}]"
Nestle.com.hk,3.3,1,,http://nestle.com.hk,"[{'author': 'Price', 'rating': 2, 'review_text': 'Nestle controls most of the world’s food and fresh water supply, and they’re a socialist company. People are starving and dying in the streets in third world countries due to their corporate greed. When will it stop?', 'experienced_on': None, 'country': 'US'}]"
Nestlé UK & Ireland,1.9,63,United Kingdom,http://nestle.co.uk,"[{'author': 'Fodders McGee', 'rating': 3, 'review_text': '3 star review', 'experienced_on': '2023-09-06T00:00:00.000Z', 'country': 'GB'}, {'author': 'Hobie ', 'rating': 5, 'review_text': 'This is a great milk. As a vegan it is as close to cows milk as you are going to get. Great in brews, cereal and for cooking. Miles ahead of soy and oat, and it’s packed with additional nutrients and full of protein. No nasty aftertaste, and it’s creamy but not thick like some milks can be. Been using for 6 months now, was using alpro oat milk before.\nWell done nestle.\nShop around, it’s always on offer for a quid somewhere.\nWould highly recommend this milk as a full replacement of cows milk, or as an alternative to other vegan milks out there.', 'experienced_on': '2023-06-16T00:00:00.000Z', 'country': 'GB'}, {'author': 'Tom Fowler', 'rating': 2, 'review_text': ""slave and child labour, anti-union activities in Columbia, the profiteering of aquifers, the lies about the environmental damage of your plastic use, chocolate price-fixing, forced labour and deforestation. \n\nNone of this is that old either. Get in a bin. I'm dddicted to that coca-cola though... so 2 stars. Still, damn baby killers."", 'experienced_on': None, 'country': 'GB'}, {'author': 'Trish Wilson ', 'rating': 1, 'review_text': ""Black Magic chocolates:\nSo many people's reviews echo mine; cheap ingredients, sugar loaded palm oil, soya. Tasteless, claggy, inedible rubbish. Profit and greed rule over the consumers right to a decent product. This will continue until customers stop buying Black Magic Chocolates. \nI ate four out of a box. The rest are only fit for the bin. I will never eat Nestle chocolates ever again."", 'experienced_on': '2023-03-21T00:00:00.000Z', 'country': 'GB'}, {'author': 'Roan Beaumont', 'rating': 5, 'review_text': ""I think this product is one of the most popular around the world.\nAnd it's not surprising, because it's always delicious, healthy and looks good. So I think it's good for both children and adults."", 'experienced_on': None, 'country': 'NL'}, {'author': 'WarMachinery', 'rating': 5, 'review_text': 'Have been using Nestle products since i can remember, and their delicious flavour is very addicting. Small price increase for a great happiness increase.', 'experienced_on': None, 'country': 'GB'}, {'author': 'Jennifer Loy Fairhurst', 'rating': 1, 'review_text': ""I bought a Milky Bar, Mini Eggs bar, half way through realised not one piece of mini eggs. Looked at remainder and there were four pieces in rest of bar which you could hardly taste so small.\nTried to complain online,  the form Won't allow you to enter the Sell by /Use by date nor the production time. It won't let you prove you're not a robot therefore will not accept your form of complaint.\n\nI then tried phoning the 00800 number given online only to be told it wasn't in operation.\n\nDo better Nestle or do you think you don't have to."", 'experienced_on': '2023-03-30T00:00:00.000Z', 'country': 'GB'}, {'author': 'Gordon Ramsey', 'rating': 1, 'review_text': 'I bought some nestle bloodmoney chocolate yesterday, so this is a valid review from that point (confirmed customer) BUT its the last nestle product i will ever buy of any nestle brand. This company plumbs new depths of human depravity - they sell chocolate to children - then use the profits to fund the murder of ukrainian children in russian war crimes.. NESTLE BLOOD MONEY luckily for nestle links are not allowed in reviews. seems they have moved on from selling powdered baby milk to counteries where the water isnt safe to drink, to more direct forms of murder. boycott nestle nd anyone who stocks their evil child murder enabling products.', 'experienced_on': None, 'country': 'GB'}, {'author': 'bbb', 'rating': 1, 'review_text': 'Recently Nestle did briefly change back to paper and foil that could be recycled.  However, far from improving its packaging Nestle has recently changed its KitKat packaging yet again so that each individual bar no longer has recyclable foil and paper but a non-recyclable wrapper. This means that a multi pack containing more than one pack of bars can have as many as three such wrappers: one on the bar, one on each pack of bars and one holding several packs together.  So much for their statement that they will be making all their packaging recyclable by 2025!', 'experienced_on': '2022-12-01T00:00:00.000Z', 'country': 'GB'}, {'author': 'Mark Allsop', 'rating': 1, 'review_text': 'Quality Street \nWhy do you bother selling this Item? 3 toffees, 3 caramel cups, 3 triangles, 3 long toffees...then filled up with turds! everyone gave to kids the following Halloween!!\nReduced quality to make it cheap... bring back to big tins full of goodies that lasted the Christmas period instead ... you get more plastic box than sweets !\nAbsolute pants\nNot buying anymore \nDentist will be going out buisness...no hope of pulling a filling.', 'experienced_on': None, 'country': 'GB'}, {'author': 'Morris Greenberg', 'rating': 1, 'review_text': ""Nestle literally makes the worst candies ever.\n\nImagine a long time ago, we used to eat delicious chocolates and candies. Artisan craftsmen would create little sugar candies that gave people joy. But nestle brings no joy. \nThey perpetuate slavery in various forms.\n\nThey have clear monopolicies on the distribution of food around the globe. And on top of all this, their products aren't even that good.\n\nSmarties are the worst.\n\nKit Kats suck. And freaking Nescafe? \n\nThe inventor of Nescafe should change his name to Lucifer because he's the devil."", 'experienced_on': None, 'country': 'IT'}, {'author': 'Gillian Hollingsworth', 'rating': 1, 'review_text': 'The chocolate now tastes revolting! If I want to treat myself I wont be buying Nestle products any more. If its had the same recipe since 1936, why change it now, and ruin it! So disappointed, it tastes like cheap continental chocolate.', 'experienced_on': '2023-03-05T00:00:00.000Z', 'country': 'GB'}, {'author': 'Richard Hall', 'rating': 1, 'review_text': ""I'm 72 years of age and I recently bought a box of Black Magic Chocolates  -  big mistake.\nWhat a load of rubbish they now are!!\nAll the centres are virtually caramel, fudge & truffles.\nWhat cream flavours there are lack flavour.\nI used to buy the chocolates regularly many, many years ago, when you used to get 3 whole hazelnuts on a hard nougat base covered in dark chocolate and hand finished - wonderful!!\nAll the chocolates are now machine moulded with no hand finishing and with cheap centres.\nTotally ruined by Nestle  -  never buying again, absolute rubbish!!\nSooner spend £30.00 on some decent chocolates than a Fiver on the junk produced by Nestle.\nWould not recommend Black Magic chocolates to anybody."", 'experienced_on': None, 'country': 'US'}, {'author': 'Janet Ansley', 'rating': 1, 'review_text': 'Always buy this product and stock up when supermarkets offer 1/2 price special. Just been to Tesco and noticed weight reduced from 100 to 90 with no price reduction. Sneaky way of increasing price as people may not notice. Not buying again on principle', 'experienced_on': None, 'country': 'GB'}, {'author': 'Agne', 'rating': 1, 'review_text': ""Nestle is right up there with Nike and McDonald's but could they win the first prize for the most unethical company in the world? I think they can. Now they make their profits at the cost of Ukrainian blood. Oh, I also still remember when they tried to convince mothers that breastfeeding was 'bad' in order to sell their synthetic formula."", 'experienced_on': None, 'country': 'GB'}, {'author': 'Barry Brown', 'rating': 1, 'review_text': ""I recently bought some NIDO 'instant full cream milk powder' it tastes like something that went off a long time ago. It is disgusting! The ingredients include Soya lecithin! Really?\nI wish I could rate this with no stars, it doesn't deserve any."", 'experienced_on': '2023-01-25T00:00:00.000Z', 'country': 'FR'}, {'author': 'Dobry Dool', 'rating': 5, 'review_text': 'I am very grateful for your commitment to bring these tastes closer to us ordinary mortals', 'experienced_on': None, 'country': 'RS'}, {'author': 'Ruth thompson', 'rating': 1, 'review_text': 'Tried the black magic chocolates .very disappointing. Not many interesting varieties and really quite an expensive boring product in a big box with lots of plastic all unnecessary .also Russian involved so big plus to avoid perse .overpriced and old fashioned .', 'experienced_on': None, 'country': 'GB'}, {'author': 'PARKING15', 'rating': 1, 'review_text': ""With all my heart there will never be a company more deserving of disdain than this. This is not just this branch but the wider Nestle network. Decent chocolate growing up but that doesn't compensate for all the slave labor, water withholding, pollution, ethical violations of human rights."", 'experienced_on': None, 'country': 'GB'}, {'author': 'Lisa Mulhern', 'rating': 1, 'review_text': ""Cannot get in touch with nestle online. I've tried to feed back to nestle that their 'contact us' form will not allow anyone to actually contact them (there's a field which must be completed, but refuses to allow typing into it so you cannot submit your complaint). I've got a box of Quality Street, well in date, where all the chocolates are so foostie they're white. Look almost mouldy. I tried to keep it between them and me, but they're impossible to submit a complaint to direct, so I've had to share with the trustpilot community in the hope nestle read it and fix the problem. Looking at the other reviews of nestle on here, I'm not so sure they care about getting feedback, maybe that's why their online form doesn't work. A cunning plan!"", 'experienced_on': None, 'country': 'GB'}]"
nestlehealthscience.com,3.2,1,,http://nestlehealthscience.com,"[{'author': 'Filipe Iglésias', 'rating': 1, 'review_text': 'Not trustfull company, no principles or social responsability.', 'experienced_on': None, 'country': 'PT'}]"
Nest Learning,1.6,24,United States,http://nestlearning.com,"[{'author': 'George InEnglish', 'rating': 1, 'review_text': 'Ordered, but never received ... my God take care of it!', 'experienced_on': None, 'country': 'US'}, {'author': 'Mary Mcdonough', 'rating': 1, 'review_text': ""I wish I had read reviews before I placed my order, but live and learn, I guess. I ordered 2 boxes of sidewalk chalk for my kids during quarantine and was so happy they had it in stock because everywhere local was completely out. Needless to say, I never received my order, no one ever answered the phone when I called, and all 10+ emails went unanswered! Wish I had realized sooner that this company was a scam. And to add insult to injury, over a year later they're still sending me weekly solicitation emails!"", 'experienced_on': None, 'country': 'US'}, {'author': 'John Montealegre', 'rating': 1, 'review_text': 'This has already been said in every other review but I wanted to share my experience as well. This company should receive be 0 stars! I did not read the reviews in advance or I would’ve known this company was a scam. I placed an order in march and never received the order. I’ve attempted to contact the company twice and nobody responds back. I finally gave up and am disputing the charge with my bank. I contacted my bank which is refunding my purchase and has launched an investigation on their end. This company is a total scam so DO NOT USE NEST LEARNING!', 'experienced_on': None, 'country': 'US'}, {'author': 'Joe Hayward', 'rating': 1, 'review_text': 'Ordered from them and never received products. Company will not answer emails or phone calls. Filed a fraud complaint with the government. Please report these scammers ASAP.', 'experienced_on': None, 'country': 'US'}, {'author': 'Jill Norton', 'rating': 1, 'review_text': ""Should be 0 stars!  Unfortunately read other's reviews after I purchased!  Luckily purchased orders with credit card.  After e-mailing company, getting no response, calling company and getting disconnected twice I did a review search and read that this company is a scam!  I contacted my credit card company which is refunding my purchase and has launched an investigation on their end.  DO NOT ORDER from this company: NEST LEARNING!"", 'experienced_on': None, 'country': 'US'}, {'author': 'julie tenderholt', 'rating': 1, 'review_text': 'I wish I would have read reviews before ordering something. How is this website still active if even the better business bureau knows they are not a legitimate company. Hopefully I can dispute with my bank and get my money back. DONT ORDER, ITS A SCAM!', 'experienced_on': None, 'country': 'US'}, {'author': 'Autumn', 'rating': 1, 'review_text': 'I placed my order, it was confirmed, my card was charged. However, my order never shipped. I have left 4 voicemails requesting a callback as well as 5 emails. I have never gotten a response.\n\n Service', 'experienced_on': None, 'country': 'IE'}, {'author': 'Rebecca Israel', 'rating': 1, 'review_text': 'Was scammed by this company who billed me $1400 for my $234 order! Of course no goods arrived and no answers to emails or phone calls. Was fooled by the Christian facade. Trying to get my money back from the Bank.  BUYER BEWARE! COMPLETE SCAMMERS AND A FAKE FRAUDULENT COMPANY!', 'experienced_on': None, 'country': 'AU'}, {'author': 'Billy jack', 'rating': 1, 'review_text': 'SCAM SCAM SCAM.  If you want to buy something from nest learning- save yourself some time and just take your money and throw it into a fire.  It is certainly a fraudulent company with a Christian and homeschool facade that give you peace of mind when you order from them.  Wolf in sheep’s clothing.  Stay away from this scam of a company.', 'experienced_on': None, 'country': 'US'}, {'author': 'Christian Hernandez', 'rating': 1, 'review_text': 'They never sent my bibles, I contacted them multiple times and never answer, they kept my money and pretty much just scammed me . Do not do business with these people they are thief DO NOT', 'experienced_on': None, 'country': 'US'}, {'author': 'Kris', 'rating': 1, 'review_text': ""I ordered an item, it never was shipped, and after 4 failed attempts to make contact with the vendor, realized I'd been had. They continually send marketing emails- so obviously there is a person operating this company."", 'experienced_on': None, 'country': 'US'}, {'author': 'Nicole Doucette', 'rating': 1, 'review_text': 'There should be an option for ZERO stars!!! This company completely scammed me and took my money. Items ordered just sat as “not yet shipped” for months. Multiple attempts to email or call were ignored. They even have an icon that says you can live chat, but does nothing when you click on it. I have to admit that the site looks legitimate, but don’t be fooled! You will never receive a single item and will be forced to attempt a dispute with the bank. Unfortunately, these people have already taken your money and ran with it. So, even if the bank refunds you, it’s still a thorn in your side that these people continue to get away with this.', 'experienced_on': None, 'country': 'US'}, {'author': 'Ian', 'rating': 1, 'review_text': 'Dont buy from this site! Stay away, im still waiting for my orders, they have no answer whatsover in the email. No customer service, no one answer their phone, what a waste!\nNever again!', 'experienced_on': None, 'country': 'US'}, {'author': 'A H', 'rating': 1, 'review_text': 'Do not buy from this site!!! I ordered from them in April and never received my order!! They do not respond to emails and they’re contact number for customer service and to order over the phone is the same and it’s just a fake recording!! Total scam!!', 'experienced_on': None, 'country': 'US'}, {'author': 'Lin Wieland', 'rating': 1, 'review_text': 'DO NOT PURCHASE FROM THIS COMPANY!  They will run your credit card immediately but will not ship the products.\nBeware all!  They will not answer email or phone calls.', 'experienced_on': None, 'country': 'US'}, {'author': 'Nope', 'rating': 1, 'review_text': ""I'd give zero if that was an option. Did not get my order from 06/24/2020. Just an answering service saying no one is available to take your call."", 'experienced_on': None, 'country': 'US'}, {'author': 'Marn', 'rating': 1, 'review_text': 'Order from April NOT RECEIVED. They do not respond to emails. Have a voicemail at their ""customer service"". They do not respond. I would highly advise to not order from this site.', 'experienced_on': None, 'country': 'US'}, {'author': 'SCAM', 'rating': 1, 'review_text': 'ordered without knowing that this is a SCAM of a company!!!  No received order, no one answers calls or returns calls and no emails returned.\nSO MAD! How dare people do this!!!!', 'experienced_on': None, 'country': 'US'}, {'author': 'Brentt Irwin', 'rating': 1, 'review_text': 'Fraud site they completely scam people. I ordered a item and it was never even shipped and they have no customer service or will not reapond to emails. Bunch of scammers dont even waste your money.', 'experienced_on': None, 'country': 'US'}, {'author': 'Brandy Riedel', 'rating': 1, 'review_text': 'This company is a money laundering scam and should be prosecuted as such! AVOID!', 'experienced_on': None, 'country': 'US'}]"
